date,facet,party,value,lower,upper
2020-01-22,2,green,0.0440274,0.03696209,0.052301924
2020-01-22,2,ukip,0.022530536,0.016746095,0.029973211
2020-01-23,1,con,0.459410119,0.432385456,0.487794283
2020-01-23,1,lab,0.305961139,0.282803163,0.329948082
2020-01-23,2,lib,0.099900054,0.087816002,0.113274492
2020-01-23,2,green,0.043951477,0.036936646,0.052237145
2020-01-23,2,ukip,0.022188021,0.016538306,0.029457374
2020-01-25,1,con,0.459819696,0.432850626,0.487973881
2020-01-25,1,lab,0.306220955,0.28289847,0.329788799
2020-01-25,2,lib,0.099655796,0.087776346,0.112794361
2020-01-25,2,green,0.043841178,0.036902433,0.052072717
2020-01-25,2,ukip,0.021827292,0.01633511,0.028940323
2020-01-26,1,con,0.460320912,0.433688175,0.488420483
2020-01-26,1,lab,0.306450827,0.28382291,0.329734956
2020-01-26,2,lib,0.099374614,0.08759289,0.112426654
2020-01-26,2,green,0.043772519,0.03687714,0.051955499
2020-01-26,2,ukip,0.021471161,0.016131106,0.028430594
2020-01-28,1,con,0.460796928,0.434292043,0.488818603
2020-01-28,1,lab,0.306640101,0.28382543,0.330023359
2020-01-28,2,lib,0.099073109,0.087333016,0.111878746
2020-01-28,2,green,0.043666236,0.036834625,0.051858852
2020-01-28,2,ukip,0.021091836,0.015873379,0.027846913
2020-01-29,1,con,0.461447578,0.434731163,0.489395318
2020-01-29,1,lab,0.306878212,0.284350988,0.329871277
2020-01-29,2,lib,0.098756266,0.087132376,0.111496075
2020-01-29,2,green,0.043559972,0.036805141,0.051612102
2020-01-29,2,ukip,0.020710912,0.015663728,0.027314716
2020-01-31,1,con,0.462091334,0.436034128,0.490136536
2020-01-31,1,lab,0.30697996,0.284413777,0.329656085
2020-01-31,2,lib,0.098432268,0.086890741,0.111149109
2020-01-31,2,green,0.043433012,0.036784946,0.051460793
2020-01-31,2,ukip,0.0203399,0.0154699,0.026633011
2020-02-02,1,con,0.462781543,0.437198103,0.490761487
2020-02-02,1,lab,0.307188079,0.28471551,0.329980089
2020-02-02,2,lib,0.098129061,0.086678891,0.110786274
2020-02-02,2,green,0.043309722,0.036718039,0.051292283
2020-02-02,2,ukip,0.019943125,0.015246555,0.026043765
2020-02-03,1,con,0.463537674,0.438320797,0.49149386
2020-02-03,1,lab,0.307373195,0.28470881,0.329935928
2020-02-03,2,lib,0.09778981,0.086529365,0.110231208
2020-02-03,2,green,0.043176303,0.036636189,0.051045692
2020-02-03,2,ukip,0.019536397,0.014984719,0.025415496
2020-02-05,1,con,0.464396511,0.43950703,0.492523283
2020-02-05,1,lab,0.307480322,0.284489978,0.329973303
2020-02-05,2,lib,0.097424091,0.086277267,0.109638658
2020-02-05,2,green,0.043068372,0.036526863,0.050782555
2020-02-05,2,ukip,0.019111678,0.014700789,0.024877309
2020-02-06,1,con,0.465334368,0.440741146,0.493290096
2020-02-06,1,lab,0.307543196,0.284575654,0.33016542
2020-02-06,2,lib,0.096979172,0.085863444,0.109032401
2020-02-06,2,green,0.042945139,0.036401322,0.050722201
2020-02-06,2,ukip,0.018740156,0.014413723,0.024215288
2020-02-08,1,con,0.466412919,0.441927816,0.494135865
2020-02-08,1,lab,0.30755514,0.284957103,0.330145665
2020-02-08,2,lib,0.096603337,0.085607175,0.108767518
2020-02-08,2,green,0.042788856,0.036285595,0.050442995
2020-02-08,2,ukip,0.018335083,0.014108879,0.023729525
2020-02-09,1,con,0.467497525,0.442720033,0.495390963
2020-02-09,1,lab,0.307493068,0.284966627,0.330107581
2020-02-09,2,lib,0.096131773,0.085134604,0.108192121
2020-02-09,2,green,0.042671143,0.0362017,0.050254984
2020-02-09,2,ukip,0.017898976,0.013743543,0.023117874
2020-02-11,1,con,0.468592311,0.443570474,0.496288197
2020-02-11,1,lab,0.30752617,0.285005137,0.329944824
2020-02-11,2,lib,0.095697825,0.084693435,0.107591113
